,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
22,"Dale County, Alabama","49,326","45,906","33,429","10,241",270,671,52,"1,243",2020
23,"Dallas County, Alabama","38,462","37,656","10,409","26,899",65,146,17,120,2020
23,"Dallas County, Alabama","43,820","43,521","12,769","30,423",85,149,11,84,2010
24,"DeKalb County, Alabama","71,608","66,904","56,420","1,046","1,992",253,22,"7,171",2020
24,"DeKalb County, Alabama","71,109","69,535","60,087","1,078",969,203,147,"7,051",2010
25,"Elmore County, Alabama","87,977","83,736","63,139","18,211",337,674,32,"1,343",2020
25,"Elmore County, Alabama","79,303","78,159","60,455","15,900",285,518,63,938,2010
26,"Escambia County, Alabama","38,319","37,739","23,784","12,220","1,288",92,12,343,2010
26,"Escambia County, Alabama","36,757","35,146","22,202","10,991","1,539",114,22,278,2020
27,"Etowah County, Alabama","103,436","98,179","78,584","15,146",739,927,54,"2,729",2020
27,"Etowah County, Alabama","104,430","102,885","83,823","15,796",448,672,171,"1,975",2010
28,"Fayette County, Alabama","16,321","15,675","13,666","1,736",72,51,6,144,2020
28,"Fayette County, Alabama","17,241","17,070","14,910","1,969",52,37,0,102,2010
29,"Franklin County, Alabama","32,113","30,521","24,333","1,166",651,68,10,"4,293",2020
29,"Franklin County, Alabama","31,704","31,174","26,320","1,228",215,63,10,"3,338",2010
30,"Geneva County, Alabama","26,790","26,374","23,127","2,539",224,67,8,409,2010
30,"Geneva County, Alabama","26,659","25,140","22,078","2,241",182,89,7,543,2020
31,"Greene County, Alabama","9,045","9,002","1,575","7,370",17,15,0,25,2010
31,"Greene County, Alabama","7,730","7,592","1,301","6,246",5,7,0,33,2020
32,"Hale County, Alabama","14,785","14,481","5,999","8,337",39,25,15,66,2020
32,"Hale County, Alabama","15,760","15,672","6,266","9,301",25,35,1,44,2010
33,"Henry County, Alabama","17,302","17,126","11,865","4,942",57,54,2,206,2010
33,"Henry County, Alabama","17,146","16,464","11,888","4,248",50,73,4,201,2020
34,"Houston County, Alabama","101,547","99,788","71,053","26,176",446,820,49,"1,244",2010
34,"Houston County, Alabama","107,202","101,611","69,265","28,408",496,"1,282",63,"2,097",2020
35,"Jackson County, Alabama","53,227","51,849","48,348","1,781",719,185,48,768,2010
35,"Jackson County, Alabama","52,579","49,025","45,480","1,636",770,214,4,921,2020
36,"Jefferson County, Alabama","674,721","645,772","329,590","281,326","2,321","13,109",352,"19,074",2020
36,"Jefferson County, Alabama","658,466 (r38264)","651,191","349,166","276,525","1,740","9,158",244,"14,358",2010
37,"Lamar County, Alabama","14,564","14,381","12,626","1,643",24,4,2,82,2010
37,"Lamar County, Alabama","13,972","13,530","11,962","1,425",35,6,6,96,2020
38,"Lauderdale County, Alabama","92,709","91,403","80,112","9,257",338,685,34,977,2010
38,"Lauderdale County, Alabama","93,564","89,106","77,141","9,243",368,770,32,"1,552",2020
39,"Lawrence County, Alabama","34,339","32,861","26,647","3,938","1,953",42,6,275,2010
39,"Lawrence County, Alabama","33,073","30,199","24,915","3,304","1,447",87,8,438,2020
40,"Lee County, Alabama","140,247 (r38032)","137,988","100,006","31,901",445,"3,658",105,"1,873",2010
40,"Lee County, Alabama","174,241","165,025","111,651","39,570",720,"8,572",120,"4,392",2020
41,"Limestone County, Alabama","103,570","96,885","77,064","13,307",708,"1,869",75,"3,862",2020
41,"Limestone County, Alabama","82,782","81,314","66,506","10,429",547,924,42,"2,866",2010
42,"Lowndes County, Alabama","10,311","10,086","2,818","7,192",17,15,5,39,2020
42,"Lowndes County, Alabama","11,299","11,239","2,859","8,310",25,14,0,31,2010
43,"Macon County, Alabama","21,452","21,224","3,319","17,729",29,76,2,69,2010
43,"Macon County, Alabama","19,532","19,032","3,252","15,441",48,74,4,213,2020
44,"Madison County, Alabama","388,153","358,764","242,510","92,066","2,978","10,292",482,"10,436",2020
44,"Madison County, Alabama","334,811","326,556","228,280","80,376","2,551","8,265",365,"6,719",2010
45,"Marengo County, Alabama","21,027","20,863","9,751","10,872",34,53,13,140,2010
45,"Marengo County, Alabama","19,323","18,900","8,428","10,188",9,54,3,218,2020
46,"Marion County, Alabama","30,776","30,435","28,791","1,184",101,54,14,291,2010
46,"Marion County, Alabama","29,341","28,028","26,312","1,106",106,75,14,415,2020
47,"Marshall County, Alabama","93,019","91,455","81,464","1,494",706,478,103,"7,210",2010
47,"Marshall County, Alabama","97,612","91,078","76,926","2,428","1,398",602,137,"9,587",2020
48,"Mobile County, Alabama","412,992 (r38160)","406,970","248,647","142,992","3,681","7,561",204,"3,885",2010
48,"Mobile County, Alabama","414,809","394,678","229,550","146,254","4,057","8,585",234,"5,998",2020
49,"Monroe County, Alabama","19,772","19,149","10,391","8,299",289,88,3,79,2020
49,"Monroe County, Alabama","23,068","22,734","12,718","9,614",260,67,9,66,2010
50,"Montgomery County, Alabama","229,363","226,457","90,656","125,477",589,"4,821",171,"4,743",2010
50,"Montgomery County, Alabama","228,954","220,759","75,074","130,467",795,"7,995",146,"6,282",2020
51,"Morgan County, Alabama","123,421","115,182","89,869","15,453",951,850,85,"7,974",2020
51,"Morgan County, Alabama","119,490","117,126","95,404","14,185","1,042",691,107,"5,697",2010
52,"Perry County, Alabama","10,591","10,548","3,204","7,276",17,30,5,16,2010
52,"Perry County, Alabama","8,511","8,335","2,359","5,936",16,10,3,11,2020
53,"Pickens County, Alabama","19,746","19,514","11,110","8,211",28,36,1,128,2010
53,"Pickens County, Alabama","19,123","18,623","10,739","7,489",27,78,0,290,2020
54,"Pike County, Alabama","33,009","31,653","18,275","12,138",192,588,21,439,2020
54,"Pike County, Alabama","32,899","32,409","19,144","12,054",192,654,24,341,2010
55,"Randolph County, Alabama","21,967","21,123","16,772","3,815",76,87,3,370,2020
55,"Randolph County, Alabama","22,913","22,652","17,532","4,607",84,55,5,369,2010
56,"Russell County, Alabama","59,183","55,776","27,532","26,243",228,420,140,"1,213",2020
56,"Russell County, Alabama","52,947","51,843","28,449","22,135",219,236,113,691,2010
57,"St. Clair County, Alabama","91,103","86,452","75,728","8,652",324,663,21,"1,064",2020
57,"St. Clair County, Alabama","83,593","82,470","73,741","7,150",281,518,46,734,2010
58,"Shelby County, Alabama","195,085","192,401","161,943","20,732",553,"3,726",74,"5,373",2010
58,"Shelby County, Alabama","223,024","209,440","165,206","28,939","1,128","5,152",108,"8,907",2020
59,"Sumter County, Alabama","13,763","13,716","3,326","10,316",11,33,4,26,2010
59,"Sumter County, Alabama","12,345","12,131","2,974","8,997",26,102,5,27,2020
60,"Talladega County, Alabama","82,149","79,241","51,214","26,439",209,395,27,957,2020
60,"Talladega County, Alabama","82,291","81,190","53,739","26,055",264,339,6,787,2010
61,"Tallapoosa County, Alabama","41,616","41,209","29,087","11,083",121,197,8,713,2010
61,"Tallapoosa County, Alabama","41,311","39,912","28,477","10,409",127,222,0,677,2020
62,"Tuscaloosa County, Alabama","194,656","192,557","129,004","57,611",526,"2,306",117,"2,993",2010
62,"Tuscaloosa County, Alabama","227,036","216,301","136,582","69,088",963,"3,253",104,"6,311",2020
63,"Walker County, Alabama","67,023","66,195","61,146","3,928",251,195,36,639,2010
63,"Walker County, Alabama","65,342","62,612","57,012","3,929",321,297,6,"1,047",2020
64,"Washington County, Alabama","17,581","17,374","11,508","4,380","1,411",20,12,43,2010
64,"Washington County, Alabama","15,388","14,816","10,309","3,318","1,114",14,7,54,2020
65,"Wilcox County, Alabama","10,600","10,422","2,880","7,483",11,7,6,35,2020
65,"Wilcox County, Alabama","11,670","11,619","3,126","8,465",14,4,1,9,2010
66,"Winston County, Alabama","24,484","24,131","23,409",115,163,60,28,356,2010
66,"Winston County, Alabama","23,540","22,473","21,760",141,113,61,9,389,2020
67,"Aleutians East Borough, Alaska","3,420","3,212",684,297,802,771,32,626,2020
67,"Aleutians East Borough, Alaska","3,141","2,988",660,219,876,"1,130",19,84,2010
68,"Aleutians West Census Area, Alaska","5,561","5,250","2,004",332,857,"1,606",103,348,2010
68,"Aleutians West Census Area, Alaska","5,232","4,858","1,667",259,728,"1,513",239,452,2020
69,"Anchorage Municipality, Alaska","291,247","250,445","164,446","14,576","23,661","27,646","10,001","10,115",2020
69,"Anchorage Municipality, Alaska","291,826","268,181","192,498","16,226","23,130","23,580","5,901","6,846",2010
70,"Bethel Census Area, Alaska","17,013","16,300","1,894",65,"14,109",160,27,45,2010
70,"Bethel Census Area, Alaska","18,666","17,650","1,665",85,"15,632",202,2,64,2020
71,"Bristol Bay Borough, Alaska",997,830,481,0,334,8,3,4,2010
71,"Bristol Bay Borough, Alaska",844,701,370,6,305,5,3,12,2020
72,"Chugach Census Area, Alaska","7,102","6,342","4,907",49,669,529,62,126,2020
72,"Denali Borough, Alaska","1,826","1,746","1,637",10,65,19,1,14,2010
73,"Dillingham Census Area, Alaska","4,847","4,409",878,11,"3,470",32,6,12,2010
73,"Copper River Census Area, Alaska","2,617","2,335","1,611",8,663,17,10,26,2020
74,"Fairbanks North Star Borough, Alaska","97,581","90,910","75,175","4,423","6,879","2,591",396,"1,446",2010
74,"Denali Borough, Alaska","1,619","1,480","1,382",11,61,13,5,8,2020
75,"Haines Borough, Alaska","2,508","2,361","2,086",10,230,14,0,21,2010
75,"Dillingham Census Area, Alaska","4,857","4,361",799,25,"3,453",48,9,27,2020
76,"Fairbanks North Star Borough, Alaska","95,655","83,485","65,971","4,014","7,555","3,104",604,"2,237",2020
76,"Hoonah-Angoon Census Area, Alaska","2,150","1,931","1,014",8,890,12,1,6,2010
77,"Haines Borough, Alaska","2,080","1,838","1,589",2,214,14,2,17,2020
77,"Juneau City and Borough, Alaska","31,275","28,308","21,814",279,"3,692","1,919",218,386,2010
78,"Hoonah-Angoon Census Area, Alaska","2,365","2,081","1,147",6,878,16,5,29,2020
78,"Kenai Peninsula Borough, Alaska","55,400","52,293","46,857",269,"4,081",631,119,336,2010
79,"Juneau City and Borough, Alaska","32,255","27,318","20,124",350,"3,614","2,101",476,653,2020
79,"Ketchikan Gateway Borough, Alaska","13,477","12,227","9,176",78,"1,910",943,27,93,2010
80,"Kenai Peninsula Borough, Alaska","58,799","52,811","46,382",386,"4,228",809,182,824,2020
80,"Kodiak Island Borough, Alaska","13,592","12,555","7,522",92,"1,797","2,660",87,397,2010
81,"Ketchikan Gateway Borough, Alaska","13,948","12,246","8,430",103,"2,334","1,129",26,224,2020
81,"Lake and Peninsula Borough, Alaska","1,631 (r38835)","1,467",380,9,"1,061",6,5,6,2010
82,"Kodiak Island Borough, Alaska","13,101","11,794","6,570",90,"1,826","2,803",117,388,2020
82,"Matanuska-Susitna Borough, Alaska","88,995","83,254","75,540",856,"4,901","1,096",221,640,2010
83,"Kusilvak Census Area, Alaska","8,368","8,176",173,16,"7,946",23,0,18,2020
83,"Nome Census Area, Alaska","9,492","8,905","1,552",27,"7,199",96,9,22,2010
84,"North Slope Borough, Alaska","9,430","8,937","3,147",94,"5,100",425,104,67,2010
84,"Lake and Peninsula Borough, Alaska","1,476","1,309",303,2,994,9,1,0,2020
85,"Northwest Arctic Borough, Alaska","7,523","7,075",846,37,"6,121",42,12,17,2010
85,"Matanuska-Susitna Borough, Alaska","107,081","94,782","83,035","1,121","6,844","1,559",506,"1,717",2020
86,"Petersburg Census Area, Alaska","3,815","3,489","2,711",15,614,100,7,42,2010
86,"Nome Census Area, Alaska","10,046","9,205","1,422",55,"7,556",111,5,56,2020
87,"North Slope Borough, Alaska","11,031","10,072","3,082",162,"5,748",641,321,118,2020
87,"Prince of Wales-Hyder Census Area, Alaska","5,559","5,085","2,799",17,"2,207",21,21,20,2010
88,"Northwest Arctic Borough, Alaska","7,793","7,331",700,72,"6,469",55,12,23,2020
88,"Sitka City and Borough, Alaska","8,881","8,010","5,798",47,"1,493",529,30,113,2010
89,"Petersburg Borough, Alaska","3,398","2,962","2,470",49,247,123,12,61,2020
89,"Skagway Municipality, Alaska",968,929,885,0,34,5,1,4,2010
90,"Southeast Fairbanks Census Area, Alaska","7,029","6,686","5,651",76,808,64,18,69,2010
90,"Prince of Wales-Hyder Census Area, Alaska","5,753","5,095","2,403",22,"2,584",27,30,29,2020
91,"Sitka City and Borough, Alaska","8,458","7,261","5,174",37,"1,248",573,14,215,2020
91,"Valdez-Cordova Census Area, Alaska","9,636","8,942","7,127",46,"1,315",354,54,46,2010
92,"Skagway Municipality, Alaska","1,240","1,160","1,070",10,32,39,0,9,2020
92,"Wade Hampton Census Area, Alaska","7,459","7,308",201,1,"7,085",18,0,3,2010
93,"Southeast Fairbanks Census Area, Alaska","6,808","6,216","5,085",74,817,87,16,137,2020
93,"Wrangell City and Borough, Alaska","2,369","2,146","1,719",4,384,33,1,5,2010
94,"Wrangell City and Borough, Alaska","2,127","1,789","1,352",0,380,25,2,30,2020
94,"Yakutat City and Borough, Alaska",662,560,281,2,237,27,12,1,2010
95,"Yakutat City and Borough, Alaska",662,544,249,4,255,32,1,3,2020
95,"Yukon-Koyukuk Census Area, Alaska","5,588","5,274","1,243",10,"3,992",14,6,9,2010
96,"Yukon-Koyukuk Census Area, Alaska","5,343","5,008","1,130",7,"3,832",8,3,28,2020
96,"Apache County, Arizona","71,518","70,096","16,634",175,"52,154",203,26,904,2010
97,"Apache County, Arizona","66,021","63,631","14,873",185,"47,016",312,20,"1,225",2020
97,"Cochise County, Arizona","131,346","126,071","103,085","5,465","1,589","2,525",418,"12,989",2010
98,"Cochise County, Arizona","125,447","103,904","81,733","4,783","1,510","2,712",488,"12,678",2020
98,"Coconino County, Arizona","134,421","130,310","82,967","1,629","36,714","1,846",164,"6,990",2010
99,"Coconino County, Arizona","145,101","132,138","83,360","1,961","36,225","2,674",262,"7,656",2020
99,"Gila County, Arizona","53,597","52,526","41,162",233,"7,946",273,47,"2,865",2010
100,"Graham County, Arizona","37,220","36,172","26,827",683,"5,376",200,52,"3,034",2010
100,"Gila County, Arizona","53,272","48,680","35,904",282,"8,928",445,48,"3,073",2020
101,"Greenlee County, Arizona","8,437","8,117","6,514",89,195,46,5,"1,268",2010
101,"Graham County, Arizona","38,533","34,407","25,043",537,"5,390",192,20,"3,225",2020
102,"La Paz County, Arizona","20,489","19,728","14,306",129,"2,628",107,7,"2,551",2010
102,"Greenlee County, Arizona","9,563","7,999","6,584",87,355,75,5,893,2020
103,"Maricopa County, Arizona","3,817,117","3,685,349","2,786,781","190,519","78,329","132,225","7,790","489,705",2010
103,"La Paz County, Arizona","16,557","14,496","9,772",114,"2,833",115,49,"1,613",2020
104,"Mohave County, Arizona","200,186","194,693","173,878","1,882","4,500","2,103",341,"11,989",2010
104,"Maricopa County, Arizona","4,420,568","3,819,893","2,645,512","260,469","100,645","203,696","10,966","598,605",2020
105,"Navajo County, Arizona","107,449","104,801","52,972",938,"46,611",580,75,"3,625",2010
105,"Mohave County, Arizona","213,267","192,957","169,732","2,221","5,185","2,734",409,"12,676",2020
106,"Pima County, Arizona","980,263","944,024","728,751","34,674","32,605","25,731","1,624","120,639",2010
106,"Navajo County, Arizona","106,717","100,434","48,430",760,"47,442",567,86,"3,149",2020
107,"Pinal County, Arizona","375,770","361,447","272,013","17,215","20,949","6,492","1,565","43,213",2010
107,"Pima County, Arizona","1,043,433","869,188","633,382","39,954","34,593","31,367","2,229","127,663",2020
108,"Santa Cruz County, Arizona","47,420","46,467","34,835",179,328,255,15,"10,855",2010
108,"Pinal County, Arizona","425,264","370,288","269,258","21,968","21,128","6,718","1,219","49,997",2020
109,"Yavapai County, Arizona","211,033","205,675","188,515","1,267","3,549","1,785",213,"10,346",2010
109,"Santa Cruz County, Arizona","47,669","30,658","15,929",187,457,304,19,"13,762",2020
110,"Yuma County, Arizona","195,751","188,241","137,881","3,931","3,056","2,324",306,"40,743",2010
110,"Yavapai County, Arizona","236,209","213,970","192,507","1,543","4,283","2,932",294,"12,411",2020
111,"Arkansas County, Arkansas","19,019","18,770","13,659","4,661",36,92,2,320,2010
111,"Yuma County, Arizona","203,881","152,053","90,318","4,099","3,522","2,587",283,"51,244",2020
112,"Ashley County, Arkansas","21,853","21,605","15,143","5,640",70,40,3,709,2010
112,"Arkansas County, Arkansas","17,149","16,406","11,698","4,156",44,94,9,405,2020
113,"Baxter County, Arkansas","41,513","40,909","40,231",67,232,169,17,193,2010
113,"Ashley County, Arkansas","19,062","18,355","12,958","4,669",56,41,6,625,2020
114,"Benton County, Arkansas","221,339","215,433","182,817","2,814","3,751","6,319",671,"19,061",2010
114,"Baxter County, Arkansas","41,627","39,404","38,489",90,255,234,9,327,2020
115,"Boone County, Arkansas","36,903","36,256","35,624",72,263,156,21,120,2010
115,"Benton County, Arkansas","284,333","252,922","201,188","4,732","5,093","13,721","2,629","25,559",2020
116,"Bradley County, Arkansas","11,508","11,353","6,934","3,173",56,27,1,"1,162",2010
116,"Boone County, Arkansas","37,373","35,045","34,128",108,276,246,28,259,2020
117,"Calhoun County, Arkansas","5,368","5,293","4,001","1,192",15,11,0,74,2010
117,"Bradley County, Arkansas","10,545","10,105","5,890","2,937",92,30,0,"1,156",2020
118,"Carroll County, Arkansas","27,446","26,827","24,593",103,251,164,39,"1,677",2010
118,"Calhoun County, Arkansas","4,739","4,531","3,539",913,10,6,9,54,2020
119,"Chicot County, Arkansas","11,800","11,708","4,864","6,381",23,55,4,381,2010
119,"Carroll County, Arkansas","28,260","25,902","21,952",95,369,567,444,"2,475",2020
120,"Clark County, Arkansas","22,995","22,651","16,518","5,413",98,120,5,497,2010
120,"Chicot County, Arkansas","10,208","9,867","3,953","5,417",36,38,9,414,2020
121,"Clay County, Arkansas","16,083","15,881","15,682",56,42,20,1,80,2010
121,"Clark County, Arkansas","21,446","20,333","14,316","5,127",96,153,18,623,2020
122,"Cleburne County, Arkansas","25,970","25,605","25,130",72,141,52,7,203,2010
122,"Clay County, Arkansas","14,552","13,937","13,731",42,44,15,8,97,2020
123,"Cleveland County, Arkansas","8,689","8,624","7,452","1,059",23,10,1,79,2010
123,"Cleburne County, Arkansas","24,711","23,500","22,953",69,133,102,11,232,2020
124,"Columbia County, Arkansas","24,552","24,296","14,696","9,059",71,177,4,289,2010
124,"Cleveland County, Arkansas","7,550","7,282","6,466",686,35,7,1,87,2020
125,"Columbia County, Arkansas","22,801","21,960","13,371","7,866",74,168,0,481,2020
125,"Conway County, Arkansas","21,273","20,852","17,917","2,385",152,83,4,311,2010
126,"Conway County, Arkansas","20,715","19,274","16,367","2,209",167,90,8,433,2020
126,"Craighead County, Arkansas","96,443","94,748","78,323","12,640",342,"1,075",29,"2,339",2010
127,"Crawford County, Arkansas","61,948","60,175","55,194",725,"1,392",893,23,"1,948",2010
127,"Craighead County, Arkansas","111,231","104,667","80,639","18,473",356,"1,692",61,"3,446",2020
128,"Crawford County, Arkansas","60,133","54,317","48,610",897,"1,486",947,35,"2,342",2020
128,"Crittenden County, Arkansas","50,902","50,345","23,446","26,051",135,301,8,404,2010
129,"Cross County, Arkansas","17,870","17,683","13,495","3,972",47,83,3,83,2010
129,"Crittenden County, Arkansas","48,163","46,344","19,276","25,905",136,327,17,683,2020
130,"Dallas County, Arkansas","8,116","8,014","4,476","3,400",32,11,1,94,2010
130,"Cross County, Arkansas","16,833","16,172","12,213","3,658",48,102,5,146,2020
131,"Desha County, Arkansas","13,008","12,890","6,230","6,216",35,43,2,364,2010
131,"Dallas County, Arkansas","6,482","6,206","3,487","2,592",17,7,0,103,2020
132,"Desha County, Arkansas","11,395","10,882","4,845","5,398",47,61,4,527,2020
132,"Drew County, Arkansas","18,509","18,296","12,739","5,144",43,95,5,270,2010
133,"Faulkner County, Arkansas","113,237","110,968","95,420","11,568",658,"1,277",48,"1,997",2010
133,"Drew County, Arkansas","17,350","16,714","11,291","4,846",90,108,13,366,2020
134,"Franklin County, Arkansas","18,125","17,818","17,221",130,189,162,24,92,2010
134,"Faulkner County, Arkansas","123,498","114,076","94,088","14,384",719,"1,475",73,"3,337",2020
135,"Fulton County, Arkansas","12,245","12,040","11,857",40,79,28,1,35,2010
135,"Franklin County, Arkansas","17,097","16,016","15,367",79,214,163,10,183,2020
136,"Garland County, Arkansas","96,024","93,810","82,964","7,615",587,695,45,"1,904",2010
136,"Fulton County, Arkansas","12,075","11,440","11,249",27,66,35,0,63,2020
137,"Garland County, Arkansas","100,180","92,181","78,837","8,128",802,972,71,"3,371",2020
137,"Grant County, Arkansas","17,853","17,664","16,940",390,77,48,2,207,2010
138,"Grant County, Arkansas","17,958","17,099","16,304",458,81,77,1,178,2020
138,"Greene County, Arkansas","42,090","41,525","40,578",233,209,108,7,390,2010
139,"Greene County, Arkansas","45,736","43,306","41,038",933,163,181,292,699,2020
139,"Hempstead County, Arkansas","22,609","22,177","13,431","6,646",88,82,19,"1,911",2010
140,"Hot Spring County, Arkansas","32,923","32,350","28,179","3,568",154,95,16,338,2010
140,"Hempstead County, Arkansas","20,065","18,713","11,006","5,683",140,96,5,"1,783",2020
141,"Hot Spring County, Arkansas","33,040","30,970","26,525","3,472",189,114,11,659,2020
141,"Howard County, Arkansas","13,789","13,614","9,894","2,846",96,87,10,681,2010
142,"Independence County, Arkansas","36,647","36,085","33,688",722,179,278,40,"1,178",2010
142,"Howard County, Arkansas","12,785","12,025","8,164","2,642",114,63,6,"1,036",2020
143,"Izard County, Arkansas","13,696","13,518","13,118",175,105,41,2,77,2010
143,"Independence County, Arkansas","37,938","35,512","32,108",849,243,345,33,"1,934",2020
144,"Izard County, Arkansas","13,577","12,810","12,306",256,87,27,11,123,2020
144,"Jackson County, Arkansas","17,997","17,728","14,363","3,000",91,53,16,205,2010
145,"Jackson County, Arkansas","16,755","16,057","12,890","2,786",47,63,4,267,2020
145,"Jefferson County, Arkansas","77,435","76,498","32,507","42,639",213,601,9,529,2010
146,"Jefferson County, Arkansas","67,260","65,189","25,478","37,835",240,673,94,869,2020
146,"Johnson County, Arkansas","25,540","25,046","22,280",364,226,175,18,"1,983",2010
147,"Lafayette County, Arkansas","7,645","7,584","4,642","2,845",17,26,0,54,2010
147,"Johnson County, Arkansas","25,749","23,758","20,088",482,274,926,36,"1,952",2020
148,"Lafayette County, Arkansas","6,308","6,084","3,906","2,057",36,32,5,48,2020
148,"Lawrence County, Arkansas","17,415","17,210","16,952",137,63,22,4,32,2010
149,"Lawrence County, Arkansas","16,216","15,465","15,044",143,52,39,12,175,2020
149,"Lee County, Arkansas","10,424","10,303","4,381","5,761",49,41,2,69,2010
150,"Lee County, Arkansas","8,600","8,303","3,465","4,663",39,13,2,121,2020
150,"Lincoln County, Arkansas","14,134","13,994","9,407","4,223",38,27,1,298,2010
151,"Little River County, Arkansas","13,171","12,907","9,948","2,519",192,39,2,207,2010
151,"Lincoln County, Arkansas","12,941","12,433","8,324","3,652",41,23,9,384,2020
152,"Logan County, Arkansas","22,353","21,944","20,844",297,237,361,4,201,2010
152,"Little River County, Arkansas","12,026","11,265","8,714","2,178",170,23,9,171,2020
153,"Logan County, Arkansas","21,131","19,860","18,826",232,241,328,8,225,2020
153,"Lonoke County, Arkansas","68,356","67,121","61,353","4,075",363,532,32,766,2010
154,"Madison County, Arkansas","15,717","15,447","14,711",28,190,81,11,426,2010
154,"Lonoke County, Arkansas","74,015","68,646","61,624","4,386",368,733,50,"1,485",2020
155,"Madison County, Arkansas","16,521","15,372","14,275",41,235,102,246,473,2020
155,"Marion County, Arkansas","16,653","16,387","16,146",30,115,37,8,51,2010
156,"Marion County, Arkansas","16,826","15,865","15,569",20,138,56,5,77,2020
156,"Miller County, Arkansas","43,462","42,724","31,134","10,667",293,198,17,415,2010
157,"Miller County, Arkansas","42,600","40,259","28,036","10,988",281,205,4,745,2020
157,"Mississippi County, Arkansas","46,480","45,785","28,653","15,817",136,233,3,943,2010
